UBIGEO,ANIO,TRIM,PROD_SUM,COSE_SUM,PRECIO_MEAN,PRECIO_COUNT,PROD_KG_SUM,REND_THA_TRIM,PRECIO_POND
200101,2015,3,1563.0,146.0,1.277,20,1563000.0,10.705479452054794,2.0420217530390277
200101,2015,4,23208.322,1776.0,1.5097297297297296,37,23208322.0,13.067748873873875,1.4820313161804632
200101,2016,1,6595.795,286.0,1.9629166666666666,24,6595795.0,23.06222027972028,1.168066927489408
200101,2016,2,9117.43,521.0,1.9478378378378376,37,9117430.0,17.49986564299424,1.8319070176573882
200101,2016,3,3854.77,131.0,1.5148387096774194,31,3854770.0,29.425725190839696,1.3003214199550168
200101,2016,4,18956.2,2077.0,1.733953488372093,43,18956200.0,9.126721232546943,1.8024899505175087
200101,2017,1,23932.5,774.0,1.8088,25,23932500.0,30.920542635658915,1.5157541000731223
200101,2017,2,7444.38,217.0,1.7272727272727273,33,7444380.0,34.305898617511524,1.6571910622509867
200101,2017,3,2195.075,112.0,2.155357142857143,28,2195075.0,19.59888392857143,3.865435121806772
200101,2017,4,20677.8,1772.0,1.4690625,32,20677800.0,11.669187358916478,1.776446720637592
200101,2018,1,19177.1,581.0,2.187692307692308,39,19177100.0,33.00705679862306,1.4458187108582632
200101,2018,2,4323.6,127.0,1.11375,16,4323600.0,34.04409448818898,2.0635118882412806
200101,2018,3,4125.0,89.0,1.063157894736842,19,4125000.0,46.348314606741575,1.1515151515151516
200101,2018,4,24001.0,2412.0,1.6503333333333332,30,24001000.0,9.95066334991708,1.9123224032331987
200101,2019,1,8201.58,33.0,1.846774193548387,31,8201580.0,248.53272727272727,1.4055913616644597
200101,2019,2,4933.0,34.0,1.19625,24,4933000.0,145.08823529411765,1.0501398743158321
200101,2019,3,6274.0,152.0,2.0829999999999997,20,6274000.0,41.276315789473685,1.8529678036340453
200101,2019,4,18357.0,2331.0,1.3188571428571427,35,18357000.0,7.8751608751608755,1.9320008716021135
200101,2020,1,9621.0,0.0,1.1991666666666667,24,9621000.0,,1.3401403180542564
200101,2020,2,6796.0,186.0,1.2134375,32,6796000.0,36.53763440860215,1.1650529723366687
200101,2020,3,5175.0,135.0,1.3614814814814815,27,5175000.0,38.333333333333336,1.0756
200101,2020,4,23030.0,2993.0,1.87,38,23030000.0,7.6946207818242565,2.8469952236213634
200101,2021,1,16438.0,200.0,1.4116666666666666,30,16438000.0,82.19,1.507455286531208
200101,2021,2,6754.0,161.0,1.284848484848485,33,6754000.0,41.95031055900621,1.2812955285756589
200101,2021,3,9872.0,404.0,1.4535483870967743,31,9872000.0,24.435643564356436,1.1914333468395462
200101,2021,4,18861.0,2340.0,1.7060526315789473,38,18861000.0,8.060256410256411,2.8493494512486084
200101,2022,1,10452.0,147.0,1.5719354838709676,31,10452000.0,71.10204081632654,1.535711825487945
200101,2022,2,3375.0,95.0,1.4566666666666666,21,3375000.0,35.526315789473685,1.1735881481481483
200101,2022,3,4190.8,79.0,1.9222727272727271,22,4190800.0,53.04810126582279,1.6674572873914288
200101,2022,4,25473.0,2676.0,1.874285714285714,35,25473000.0,9.519058295964125,1.8353323126447612
200101,2023,1,23912.0,125.0,1.7270833333333335,24,23912000.0,191.296,1.7843664268986283
200101,2023,2,3490.0,66.0,1.933846153846154,26,3490000.0,52.878787878787875,1.75821776504298
200101,2023,3,1667.0,25.0,2.2904,25,1667000.0,66.68,3.1575884823035394
200101,2023,4,9209.0,2993.0,1.8233333333333333,39,9209000.0,3.0768459739391916,2.516071234661744
200101,2024,1,4838.0,14.0,1.755909090909091,22,4838000.0,345.57142857142856,0.9121889210417528
200101,2024,2,6412.0,153.0,1.3762962962962964,27,6412000.0,41.908496732026144,1.0490393013100436
200101,2024,3,5482.0,56.0,1.549642857142857,28,5482000.0,97.89285714285714,0.9557497263772345
200101,2024,4,12545.0,98.0,2.5716666666666668,36,12545000.0,128.01020408163265,1.9773599043443604
200104,2015,3,3639.5,329.0,1.323888888888889,18,3639500.0,11.062310030395137,1.491770847643907
200104,2015,4,105064.04,3282.0,1.575,30,105064040.0,32.01219987812309,2.920371137451025
200104,2016,1,930.9,15.0,1.7725000000000002,20,930900.0,62.059999999999995,0.7560210548931142
200104,2016,2,2112.13,149.0,2.4434782608695653,23,2112130.0,14.17536912751678,4.73934132842202
200104,2016,3,5120.98,302.0,2.5890322580645164,31,5120980.0,16.956887417218542,2.1750485258680956
200104,2016,4,124566.0,3645.0,2.0203846153846152,26,124566000.0,34.17448559670782,2.0493221264229406
200104,2017,1,8365.9,114.0,2.158333333333333,24,8365900.0,73.38508771929824,2.320551285575969
200104,2017,2,6127.63,225.0,2.066666666666667,24,6127630.0,27.233911111111112,2.056403536114289
200104,2017,3,2348.5,53.0,2.699411764705882,17,2348500.0,44.31132075471698,1.4994932935916543
200104,2017,4,129690.85,3821.0,2.0315000000000003,20,129690850.0,33.94159905783826,1.8565465104130323
200104,2018,1,11480.41,499.0,3.0454545454545454,22,11480410.0,23.006833667334668,1.608098055731459
200104,2018,2,4967.0,144.0,1.215,10,4967000.0,34.49305555555556,1.9454278236359976
200104,2018,3,2371.0,6.0,1.2038461538461538,13,2371000.0,395.1666666666667,1.376010122311261
200104,2018,4,115182.0,4348.0,1.8682142857142858,28,115182000.0,26.49080036798528,2.9740222430588115
200104,2019,1,11155.15,47.0,1.9571428571428573,21,11155150.0,237.3436170212766,3.014985903371985
200104,2019,2,4080.0,276.0,1.1595,20,4080000.0,14.782608695652174,2.0390245098039217
