ANIO,CULTIVO_STD,TIPO_CULTIVO,area_sembrada_ha,area_cosechada_ha,produccion_t,valor_prod_s,rendimiento_t_ha,n_obs_precio_val,n_obs_total,precio_prom_s_kg
2015,Pasto Elefante,Permanente,0.0,3904.0,57314.0,15850050.0,2.64178624919099,116,172,0.27654761489339436
2015,Pasto Sudan,Permanente,0.0,0.0,0.0,0.0,,0,25,
2015,Pepinillo (Cucumis Sativus),Transitorio,0.0,0.0,0.0,0.0,,0,5,
2015,Pi A,Permanente,0.0,0.0,0.0,0.0,,0,5,
2015,Pimiento,Transitorio,2.0,3.0,11.0,24000.0,3.6666666666666665,3,5,2.1818181818181817
2015,Piquillo (T.),Transitorio,8.0,133.0,2163.0,2159200.0,20.555555555555557,3,29,0.9982431807674526
2015,Platanos Y Bananas Para Cocci N (M X Paradisiaca),Permanente,2.0,14037.0,113839.0,84372340.0,1.0268696415337986,215,245,0.7411549644673617
2015,Quinua,Transitorio,0.0,8.0,15.0,80000.0,1.6666666666666667,3,23,5.333333333333333
2015,Rabano,Transitorio,2.0,2.0,12.0,10800.0,6.0,2,5,0.9
2015,Sandia,Transitorio,328.0,307.0,9158.0,7192500.0,30.408373205741626,30,83,0.7853789036907621
2015,Sorgo Escobero,Transitorio,77.0,41.0,233.0,146400.0,6.166666666666667,4,23,0.6283261802575107
2015,Soya,Transitorio,126.0,221.0,387.0,954600.0,1.776470588235294,17,51,2.466666666666667
2015,Tamarindo,Permanente,0.0,170.0,1244.0,1510940.0,7.4751157407407405,17,95,1.2145819935691318
2015,Taperiba,Permanente,0.0,250.0,672.0,1008000.0,1.0364145658263304,8,30,1.5
2015,Tomate,Transitorio,76.0,79.0,1532.0,1842800.0,19.470588235294116,17,88,1.2028720626631852
2015,Toronjo,Permanente,0.0,0.0,0.0,0.0,,0,20,
2015,Trigo Blando,Transitorio,4.0,7346.0,7976.0,9796100.0,1.0139330304867826,29,48,1.2281970912738216
2015,Tumbo,Permanente,0.0,0.0,0.0,0.0,,0,35,
2015,Tuna,Permanente,0.0,0.0,0.0,0.0,,0,65,
2015,Vid,Permanente,706.0,5583.0,175091.0,521021550.0,12.947986439551364,26,80,2.9757186263143165
2015,Yuca,Transitorio,293.0,732.0,5042.0,5843790.0,5.909180790960452,59,173,1.159022213407378
2015,Zanahoria,Transitorio,92.0,26.0,206.0,183600.0,8.2,5,37,0.8912621359223301
2015,Zapallo,Transitorio,0.0,0.0,0.0,0.0,,0,1,
2015,Zarandaja Grano Seco,Transitorio,0.0,0.0,0.0,0.0,,0,30,
2016,Achita  Kiwicha  O Amaranto,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2016,Aji,Transitorio,12.0,12.0,36.0,297800.0,3.2962962962962963,3,67,8.272222222222222
2016,Ajo,Transitorio,78.0,88.0,210.0,1207000.0,2.3846153846153846,13,96,5.747619047619048
2016,Alfalfa,Permanente,18.0,161.0,3181.7,1384550.0,3.0794501497646554,125,163,0.43516044881667043
2016,Algodon Pima,Transitorio,373.0,373.0,1197.0,4140330.0,1.169013010388543,39,212,3.458922305764411
2016,Arroz,Transitorio,60644.0,67373.0,589687.0,732354660.0,8.095617909293859,138,453,1.2419379433496076
2016,Arveja Grano Seco,Transitorio,5288.0,5215.0,4113.0,10971200.0,0.9097167434729272,39,153,2.667444687575979
2016,Arveja Grano Verde,Transitorio,399.0,380.0,772.0,1409220.0,2.0476190476190474,20,57,1.8254145077720207
2016,Avena Forrajera,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2016,Banano (Musa Acuminata),Permanente,0.0,0.0,0.0,0.0,,0,12,
2016,Betarraga,Transitorio,9.0,12.0,85.0,94800.0,7.125,4,19,1.115294117647059
2016,Ca A De Azucar (Para Alcohol),Permanente,0.0,4988.0,85727.0,13529170.0,2.981141945064998,232,276,0.15781690715877145
2016,Cacao,Permanente,3.0,1484.0,662.0,3796650.0,0.14175032263044995,73,240,5.735120845921451
2016,Cafeto,Permanente,31.0,7979.0,3044.0,19058800.0,0.09504734043011771,55,240,6.261103810775295
2016,Camote,Transitorio,773.0,919.0,16048.0,15906560.0,10.36831746031746,50,292,0.9911864406779659
2016,Capuli (Prunus Serotina Ssp. Capuli),Permanente,0.0,35.0,8.0,8000.0,0.02857142857142857,3,12,1.0
2016,Cebada Grano,Transitorio,317.0,317.0,265.0,292700.0,0.8640781440781441,15,72,1.1045283018867924
2016,Cebolla,Transitorio,175.0,225.0,6314.0,3908400.0,31.666666666666668,30,97,0.6190053848590434
2016,Chirimoyo,Permanente,0.0,459.0,1672.0,1396700.0,1.1554526115557118,54,240,0.8353468899521531
2016,Ciruelo (Ciruela Spondias),Permanente,0.0,581.0,1455.0,1455100.0,0.6957781604796529,107,312,1.0000687285223366
2016,Cocotero,Permanente,0.0,111.0,1479.0,877800.0,2.0692970150416956,81,216,0.5935091277890467
2016,Coliflor,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2016,Esparrago,Permanente,0.0,0.0,0.0,0.0,,0,108,
2016,Frijol Caupi Chiclayo Castilla Chileno Grano Seco,Transitorio,8804.0,6756.0,10851.0,20403360.0,1.7442856627488874,72,231,1.8803207077688693
2016,Frijol Caupi Chiclayo Castilla Chileno Grano Verde,Transitorio,170.0,141.0,248.0,832200.0,1.7653991596638654,10,32,3.355645161290323
2016,Frijol De Palo Grano Seco (T.),Transitorio,0.0,32.0,56.0,56000.0,1.75,1,86,1.0
2016,Frijol Grano Seco,Transitorio,4641.0,5388.0,4235.0,14470700.0,0.8339913566350637,39,161,3.416930342384888
2016,Girasol,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2016,Granadilla,Permanente,0.0,201.0,397.0,836360.0,0.7472763347763348,52,240,2.1067002518891687
2016,Guanabano,Permanente,0.0,24.0,87.025,644530.0,0.48717948717948717,119,156,7.40626256822752
2016,Guayabo,Permanente,0.0,70.0,57.0,54600.0,0.11921768707482994,28,84,0.9578947368421052
2016,Haba Grano Seco,Transitorio,562.0,588.0,501.0,1597160.0,0.8822521485315001,35,145,3.187944111776447
2016,Haba Grano Verde,Transitorio,0.0,0.0,0.0,0.0,,0,48,
2016,Higuera,Permanente,0.0,12.0,29.75,57960.0,0.325,61,72,1.948235294117647
2016,Lechuga,Transitorio,5.0,3.0,15.0,13800.0,5.0,3,10,0.92
2016,Lima,Permanente,0.0,18.0,6.376,12918.5,0.148375,16,96,2.0261135508155586
2016,Limon Dulce,Permanente,0.0,0.0,0.0,0.0,,0,72,
2016,Limon Sutil,Permanente,0.0,11660.0,148105.0,112749940.0,0.7116909112882017,338,480,0.7612838189122582
2016,Lucumo,Permanente,0.0,89.0,200.0,174050.0,0.7194956558592923,32,192,0.87025
2016,Maiz Amarillo Duro,Transitorio,14903.0,14378.0,51004.0,55203400.0,3.9900267389555912,181,495,1.082334718845581
2016,Maiz Amilaceo,Transitorio,13267.0,15447.0,15080.0,22568870.0,1.0199469451701304,43,193,1.4966094164456232
2016,Maiz Choclo,Transitorio,174.0,276.0,1845.0,2818500.0,6.4,27,112,1.5276422764227642
2016,Mamey,Permanente,0.0,70.0,220.209,233485.0,0.296265873015873,108,144,1.0602881807737197
2016,Mango,Permanente,106.0,19843.0,275272.0,129914870.0,4.18495167411076,89,428,0.47195090673951584
2016,Mani  Para Fruta,Transitorio,495.0,505.0,595.0,2241900.0,1.2740557210855905,16,83,3.7678991596638656
2016,Maracuya,Permanente,50.0,1046.0,5322.0,7412550.0,1.0451369649453008,117,231,1.3928128523111611
2016,Marigold,Permanente,0.0,4.0,116.0,58000.0,29.0,1,154,0.5
2016,Melon,Transitorio,92.0,103.0,1601.0,1518500.0,15.84873949579832,17,43,0.948469706433479
2016,Naranjo,Permanente,2.0,487.0,2213.0,1780700.0,1.0936056644880174,77,384,0.8046543154089469
2016,Nispero,Permanente,0.0,16.0,11.998000000000001,10563.0,0.060625,32,108,0.880396732788798
2016,Oca,Transitorio,311.0,279.0,543.0,610260.0,2.1151441102756894,16,99,1.1238674033149172
2016,Olluco,Transitorio,389.0,395.0,850.0,1087540.0,2.3429233905259284,18,145,1.2794588235294118
2016,Otros Pastos,Permanente,0.0,12209.0,165244.0,42827130.0,0.7115582258779757,159,264,0.2591750986420082
2016,Pacae O Guabo,Permanente,0.0,254.0,122.189,61140.5,0.11798942857142856,63,336,0.5003764659666582
2016,Palto,Permanente,0.0,696.0,7025.0,25991000.0,2.0817382169674463,63,384,3.6997864768683275
2016,Papa (Agrupa Mejoradas Y Nativas),Transitorio,1520.0,1457.0,13711.0,17503890.0,9.35592417806208,70,184,1.2766311720516377
2016,Papaya,Permanente,16.0,83.0,882.0,1055340.0,1.8881244881244883,81,204,1.1965306122448982
2016,Paprika,Transitorio,412.0,372.0,2626.0,21802300.0,6.9734084855999035,17,77,8.302475247524752
2016,Pasto Elefante,Permanente,20.0,4064.0,107883.0,27699260.0,4.289401934401735,292,420,0.2567527784729754
2016,Pasto Sudan,Permanente,0.0,0.0,0.0,0.0,,0,60,
2016,Pepinillo (Cucumis Sativus),Transitorio,0.0,0.0,0.0,0.0,,0,12,
2016,Pi A,Permanente,0.0,0.0,0.0,0.0,,0,12,
2016,Piquillo (T.),Transitorio,297.0,252.0,4834.0,5784600.0,17.84519468606156,9,83,1.196648738105089
2016,Platanos Y Bananas Para Cocci N (M X Paradisiaca),Permanente,1275.0,14224.0,274169.0,203218430.0,1.1972642639881956,517,588,0.7412159288613956
2016,Quinua,Transitorio,0.0,0.0,0.0,0.0,,0,48,
2016,Rabano,Transitorio,5.0,4.0,28.0,24700.0,7.0,4,12,0.8821428571428571
2016,Sandia,Transitorio,548.0,574.0,14876.0,7685700.0,25.66046511627907,43,152,0.5166509814466255
2016,Sorgo Escobero,Transitorio,41.0,41.0,315.0,213000.0,16.0,5,54,0.6761904761904762
2016,Soya,Transitorio,285.0,309.0,543.0,1195400.0,1.5849299719887955,17,98,2.201473296500921
2016,Tamarindo,Permanente,0.0,209.0,1561.0,2469270.0,3.618196457326892,25,228,1.5818513773222296
2016,Taperiba,Permanente,0.0,257.0,923.0,1391560.0,0.9066293183940243,12,72,1.5076489707475622
2016,Tomate,Transitorio,43.0,80.0,1550.0,1433600.0,20.390625,24,136,0.9249032258064516
2016,Toronjo,Permanente,0.0,0.0,0.0,0.0,,0,48,
2016,Trigo Blando,Transitorio,11476.0,11318.0,14490.0,19847980.0,1.0662077909537437,35,145,1.3697708764665286
2016,Tumbo,Permanente,0.0,6.0,3.525,4350.0,0.11458333333333333,14,84,1.2340425531914894
2016,Tuna,Permanente,0.0,0.0,0.0,0.0,,0,156,
2016,Vid,Permanente,629.0,6561.0,278366.0,716719500.0,7.853779310403506,38,192,2.5747379349489523
2016,Yuca,Transitorio,876.0,1101.0,6924.0,7722550.0,6.4404583495826815,110,418,1.1153307336799538
2016,Zanahoria,Transitorio,84.0,176.0,1127.0,892760.0,7.154049445865303,23,68,0.792156166814552
2016,Zapallo,Transitorio,68.0,65.0,227.0,203200.0,3.75,4,24,0.8951541850220264
2016,Zarandaja Grano Seco,Transitorio,0.0,0.0,0.0,0.0,,0,72,
2017,Achita  Kiwicha  O Amaranto,Transitorio,0.0,0.0,0.0,0.0,,0,10,
2017,Aji,Transitorio,22.0,10.0,96.0,772000.0,9.75,2,72,8.041666666666666
2017,Ajo,Transitorio,77.0,79.0,164.0,889000.0,2.0818181818181816,11,85,5.420731707317073
2017,Alfalfa,Permanente,0.0,131.0,3574.0,1923910.0,1.698211875843455,124,168,0.5383072188024622
2017,Algodon Pima,Transitorio,918.0,505.0,1699.0,6480350.0,0.7854741978200342,25,209,3.814214243672749
2017,Arroz,Transitorio,57793.0,51566.0,378864.0,464846470.0,6.9990546389591755,115,458,1.2269481133071498
2017,Arveja Grano Seco,Transitorio,5135.0,5130.0,3687.0,12062160.0,0.8371829183407163,35,140,3.2715378356387306
2017,Arveja Grano Verde,Transitorio,353.0,331.0,680.0,1284250.0,2.1091432225063937,17,58,1.8886029411764707
2017,Avena Forrajera,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2017,Banano (Musa Acuminata),Permanente,0.0,0.0,0.0,0.0,,0,12,
2017,Betarraga,Transitorio,10.0,10.0,85.0,110500.0,8.5,2,24,1.3
2017,Ca A De Azucar (Para Alcohol),Permanente,89.0,5032.0,83503.92,14433828.0,1.5183759367298901,224,276,0.1728521008355057
2017,Cacao,Permanente,2.0,1481.0,599.0,3402900.0,0.12781024911040045,60,238,5.680968280467445
2017,Cafeto,Permanente,164.0,8075.0,4050.0,25173600.0,0.1750925518401659,54,240,6.215703703703704
2017,Camote,Transitorio,853.0,755.0,12450.6,10760340.0,9.96915824915825,45,294,0.8642426870994168
2017,Capuli (Prunus Serotina Ssp. Capuli),Permanente,0.0,35.0,6.0,6000.0,0.05714285714285714,3,12,1.0
2017,Cebada Grano,Transitorio,332.0,332.0,297.0,416000.0,0.9496289424860853,14,68,1.4006734006734007
2017,Cebolla,Transitorio,158.0,151.0,3038.0,1831600.0,21.058823529411764,17,80,0.6028966425279789
2017,Chirimoyo,Permanente,0.0,475.0,1923.0,1704280.0,0.8088593170114909,51,240,0.8862610504420178
2017,Ciruelo (Ciruela Spondias),Permanente,0.0,581.0,779.0,763900.0,0.4232922840012392,64,312,0.9806161745827985
2017,Cocotero,Permanente,0.0,111.0,1550.0,942600.0,2.7013210194061257,78,212,0.6081290322580645
2017,Col O Repollo,Transitorio,3.0,3.0,37.0,18500.0,12.333333333333334,1,4,0.5
2017,Coliflor,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2017,Esparrago,Permanente,0.0,0.0,0.0,0.0,,0,107,
2017,Frijol Caupi Chiclayo Castilla Chileno Grano Seco,Transitorio,5935.0,8024.0,8887.0,15271080.0,1.616671766036014,57,206,1.7183616518510185
2017,Frijol Caupi Chiclayo Castilla Chileno Grano Verde,Transitorio,22.0,39.0,73.0,191200.0,1.8361111111111112,6,22,2.6191780821917807
2017,Frijol De Palo Grano Seco (T.),Transitorio,79.0,70.0,144.0,315000.0,3.025089605734767,6,104,2.1875
2017,Frijol Grano Seco,Transitorio,6795.0,6445.0,5019.0,17903020.0,0.9896224602418877,42,170,3.5670492129906357
2017,Girasol,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2017,Granadilla,Permanente,0.0,190.0,326.0,653900.0,0.638932178932179,45,240,2.005828220858896
2017,Guanabano,Permanente,0.0,24.0,71.115,468460.0,0.24243589743589744,100,156,6.587358503831822
2017,Guayabo,Permanente,0.0,70.0,73.0,73000.0,0.1477891156462585,28,84,1.0
2017,Haba Grano Seco,Transitorio,431.0,433.0,340.0,1078600.0,0.8119104285321957,24,121,3.17235294117647
2017,Haba Grano Verde,Transitorio,88.0,84.0,210.0,310800.0,2.3555555555555556,5,48,1.48
2017,Higuera,Permanente,0.0,12.0,12.946,12986.0,0.3416666666666666,33,72,1.0030897574540398
2017,Lechuga,Transitorio,4.0,4.0,29.0,19500.0,7.25,4,12,0.6724137931034484
2017,Lima,Permanente,0.0,0.0,0.0,0.0,,0,96,
2017,Limon Dulce,Permanente,0.0,1.0,1.0,2000.0,1.0,1,72,2.0
2017,Limon Sutil,Permanente,144.0,16195.0,67137.36,83188840.0,0.922306156621246,316,476,1.2390841701252477
2017,Lucumo,Permanente,1.0,89.0,158.7,178160.0,0.7512926467471922,33,193,1.122621298046629
2017,Maiz Amarillo Duro,Transitorio,15017.0,14918.0,54170.0,56923830.0,4.124867755188676,168,510,1.050836810042459
2017,Maiz Amilaceo,Transitorio,17276.0,16055.0,15887.0,23947420.0,1.0992178557396544,44,192,1.5073594763013785
2017,Maiz Choclo,Transitorio,230.0,190.0,1140.0,1572000.0,6.0,24,122,1.3789473684210527
2017,Mamey,Permanente,0.0,70.0,57.849000000000004,94108.0,0.2348015873015873,52,144,1.626786979895936
2017,Mango,Permanente,129.0,19833.0,274074.0,153644270.0,4.125944892874174,91,423,0.5605941096200296
2017,Mani  Para Fruta,Transitorio,445.0,418.0,367.0,1232300.0,1.1399445706328297,13,80,3.357765667574932
2017,Maracuya,Permanente,28.0,1178.0,2600.64,3017048.0,1.306879379358496,113,249,1.1601175095361143
2017,Marigold,Permanente,0.0,0.0,0.0,0.0,,0,140,
2017,Melon,Transitorio,77.0,62.0,1023.0,1633000.0,16.25,12,35,1.5962854349951123
2017,Naranjo,Permanente,4.0,502.0,1948.0,1543550.0,1.684982174688057,77,384,0.7923767967145792
2017,Nispero,Permanente,0.0,16.0,14.600000000000001,7300.0,0.11827083333333334,32,108,0.5
2017,Oca,Transitorio,303.0,289.0,784.0,1044900.0,2.7742788461538463,16,87,1.332780612244898
2017,Olluco,Transitorio,457.0,378.0,1098.0,1524000.0,2.8722045681017505,17,143,1.3879781420765027
2017,Otros Pastos,Permanente,0.0,12209.0,193147.5,66373725.0,0.9389171626835783,167,264,0.3436426824059333
2017,Pacae O Guabo,Permanente,0.0,254.0,184.08,100908.0,0.19588761904761906,79,336,0.5481747066492829
2017,Palto,Permanente,5.0,705.0,8364.0,22067100.0,2.215980182886658,77,391,2.6383428981348636
2017,Papa (Agrupa Mejoradas Y Nativas),Transitorio,2022.0,1907.0,18681.0,17292950.0,9.940506762182393,78,186,0.9256972324822013
2017,Papaya,Permanente,0.0,58.0,453.0,724100.0,1.9103333333333332,56,199,1.5984547461368657
2017,Paprika,Transitorio,398.0,137.0,1011.0,8042800.0,7.256987456987457,11,77,7.955291790306626
2017,Pasto Elefante,Permanente,0.0,4085.0,84775.5,20970065.0,2.4778658885678206,293,420,0.247359968387093
2017,Pasto Sudan,Permanente,0.0,0.0,0.0,0.0,,0,60,
2017,Pepinillo (Cucumis Sativus),Transitorio,0.0,0.0,0.0,0.0,,0,12,
2017,Pi A,Permanente,0.0,0.0,0.0,0.0,,0,12,
2017,Piquillo (T.),Transitorio,553.0,158.0,3815.0,4761100.0,20.77777777777778,6,68,1.247994757536042
2017,Platanos Y Bananas Para Cocci N (M X Paradisiaca),Permanente,281.0,15251.0,204695.4,170159670.0,0.8551655122613452,519,584,0.8312823346298939
2017,Quinua,Transitorio,0.0,0.0,0.0,0.0,,0,48,
2017,Rabano,Transitorio,6.0,5.0,39.0,28300.0,7.8,5,12,0.7256410256410256
2017,Sandia,Transitorio,535.0,385.0,11361.0,6607500.0,26.323195791550223,28,147,0.5815949300237654
2017,Sorgo Escobero,Transitorio,30.0,30.0,150.0,110000.0,5.0,2,43,0.7333333333333333
2017,Soya,Transitorio,245.0,212.0,310.0,650200.0,1.5407407407407407,9,68,2.09741935483871
2017,Tamarindo,Permanente,0.0,209.0,1136.0,1921800.0,3.971296296296296,21,206,1.691725352112676
2017,Taperiba,Permanente,0.0,250.0,990.0,1469000.0,0.6264005602240896,14,72,1.4838383838383837
2017,Tomate,Transitorio,94.0,61.0,1186.0,995800.0,20.761904761904763,14,143,0.8396290050590219
2017,Toronjo,Permanente,0.0,0.0,0.0,0.0,,0,48,
2017,Trigo Blando,Transitorio,11211.0,11209.0,11331.0,17224170.0,1.045585870548316,34,136,1.520092666137146
2017,Tumbo,Permanente,0.0,18.0,7.635,14335.0,0.12648809523809526,32,84,1.8775376555337262
2017,Tuna,Permanente,0.0,0.0,0.0,0.0,,0,156,
2017,Vid,Permanente,204.0,7064.0,223491.0,520281300.0,10.405788220746647,34,192,2.3279742808435238
2017,Yuca,Transitorio,989.0,891.0,6660.0,7280590.0,7.185114157686972,103,417,1.0931816816816815
2017,Zanahoria,Transitorio,90.0,76.0,602.0,616400.0,7.912367724867725,12,58,1.023920265780731
2017,Zapallo,Transitorio,78.0,61.0,160.0,80000.0,2.738095238095238,7,30,0.5
2017,Zarandaja Grano Seco,Transitorio,0.0,0.0,0.0,0.0,,0,72,
2018,Aji,Transitorio,0.0,12.0,77.0,608300.0,5.75,4,64,7.900000000000001
2018,Ajo,Transitorio,111.0,107.0,192.0,856000.0,2.1666666666666665,9,79,4.458333333333333
2018,Alfalfa,Permanente,18.0,144.0,4262.6,2341832.0,2.4395299145299147,135,168,0.5493905128325436
2018,Algodon Pima,Transitorio,2335.0,1793.0,5945.0,19713350.0,1.673301674051124,46,252,3.315954583683768
2018,Arroz,Transitorio,52644.0,59707.0,513515.0,538919150.0,7.615440717676056,126,424,1.0494710962678793
2018,Arveja Grano Seco,Transitorio,4910.0,4389.0,2827.0,7237100.0,0.7994524608222313,31,152,2.5599929253625753
2018,Arveja Grano Verde,Transitorio,366.0,396.0,791.0,2006740.0,2.039751552795031,14,62,2.5369658659924146
2018,Avena Forrajera,Transitorio,0.0,0.0,0.0,0.0,,0,12,
2018,Banano (Musa Acuminata),Permanente,100.0,0.0,0.0,0.0,,0,23,
2018,Betarraga,Transitorio,38.0,13.0,110.0,152200.0,8.5,4,24,1.3836363636363636
2018,Ca A De Azucar (Para Alcohol),Permanente,42.0,5054.0,84054.0,16429050.0,2.8412212072798115,218,276,0.19545827682204298
2018,Cacao,Permanente,3.0,1554.0,1009.0,4880820.0,0.13018985628286364,85,228,4.837284440039643
2018,Cafeto,Permanente,29.0,7996.0,3660.0,22489100.0,0.12124248567119059,54,240,6.144562841530054
2018,Camote,Transitorio,619.0,522.0,6067.0,5986180.0,7.490764790764791,33,309,0.9866787539146201
2018,Capuli (Prunus Serotina Ssp. Capuli),Permanente,0.0,35.0,5.0,12000.0,0.02857142857142857,2,12,2.4
2018,Cebada Grano,Transitorio,373.0,337.0,281.0,312200.0,0.8571572871572872,11,74,1.1110320284697508
