UBIGEO,ANIO,PROD_SUM,COSE_SUM,PRECIO_MEAN,PRECIO_COUNT,PROD_KG_SUM,REND_THA_ANUAL,PRECIO_POND
200101,2015,24771.322,1922.0,1.4280701754385965,57,24771322.0,12.888304890738814,1.517365120844176
200101,2016,38524.195,3015.0,1.7829629629629629,135,38524195.0,12.777510779436152,1.650583847371762
200101,2017,54249.755,2875.0,1.7761016949152544,118,54249755.0,18.86948,1.7296018203215848
200101,2018,51626.7,3209.0,1.6620192307692307,104,51626700.0,16.088095980056092,1.690909161344808
200101,2019,37765.58,2550.0,1.5798181818181818,110,37765580.0,14.81003137254902,1.6893602587329521
200101,2020,44622.0,3314.0,1.4498347107438017,121,44622000.0,13.464695232347616,2.0605019945318452
200101,2021,51925.0,3105.0,1.4745454545454546,132,51925000.0,16.723027375201287,1.9053794896485314
200101,2022,43490.8,2997.0,1.7175229357798165,109,43490800.0,14.511444778111446,1.6957958924646133
200101,2023,38278.0,3209.0,1.9307017543859648,114,38278000.0,11.92832658148956,2.0178209415329955
200101,2024,29277.0,321.0,1.8739823008849557,113,29277000.0,91.20560747663552,1.4067360043720327
200104,2015,108703.54,3611.0,1.4808333333333332,48,108703540.0,30.103445029077815,2.872540213501787
200104,2016,132730.01,4111.0,2.2444,100,132730010.0,32.28655071758696,2.087908567173317
200104,2017,146532.88,4213.0,2.2108235294117646,85,146532880.0,34.78112508901021,1.8856725876131009
200104,2018,134000.41,4997.0,2.015205479452055,73,134000410.0,26.816171703021812,2.7905953048949628
200104,2019,122861.15,4828.0,1.5320224719101123,89,122861150.0,25.447628417564207,2.576060373844783
200104,2020,95616.0,5441.0,1.6704545454545454,88,95616000.0,17.573240213196105,3.1049561788821953
200104,2021,144984.0,5202.0,1.6148235294117645,85,144984000.0,27.870818915801614,3.604418556530376
200104,2022,114194.0,6788.0,2.0433333333333334,87,114194000.0,16.82292280494991,3.397381999054241
200104,2023,175948.0,5775.0,2.305205479452055,73,175948000.0,30.467186147186148,3.6016939095641893
200104,2024,79392.0,1066.0,1.5671232876712329,73,79392000.0,74.4765478424015,3.3394061114469973
200105,2015,8454.16,2007.0,1.4902272727272725,44,8454160.0,4.212336821126058,1.1761098678047257
200105,2016,42061.206,5473.0,1.9370399999999999,125,42061206.0,7.685219440891649,1.2457268105912132
200105,2017,22945.395,3313.0,1.699223300970874,103,22945395.0,6.9258662843344405,1.3250894133659499
200105,2018,38978.64,5764.0,1.5110416666666666,96,38978640.0,6.7624288688410825,1.2164667623087928
200105,2019,33681.82,5700.0,1.4468032786885245,122,33681820.0,5.909091228070175,1.1797806650590734
200105,2020,35754.0,5228.0,1.5535294117647058,119,35754000.0,6.838944146901301,1.5023390389886446
200105,2021,50817.0,7471.0,1.4537007874015748,127,50817000.0,6.801900682639539,1.4477985713442352
200105,2022,36029.0,6672.0,1.8203883495145632,103,36029000.0,5.4000299760191846,2.1973299286685726
200105,2023,27113.0,4666.0,2.1675,108,27113000.0,5.810758679811402,1.7552340205805332
200105,2024,39428.0,4852.0,1.8619444444444444,108,39428000.0,8.126133553173949,1.7085096885462108
200107,2015,4789.0,868.0,1.325952380952381,42,4789000.0,5.517281105990784,1.1527813739820423
200107,2016,21019.0,2490.0,1.4234408602150537,93,21019000.0,8.44136546184739,1.4270807364765212
200107,2017,13066.0,1226.0,1.3453947368421053,76,13066000.0,10.65742251223491,1.3305984999234655
200107,2018,18620.0,2365.0,1.4926923076923078,78,18620000.0,7.873150105708246,1.6258818474758325
200107,2019,18624.0,2584.0,1.4165,100,18624000.0,7.207430340557275,1.4546606529209622
200107,2020,26592.0,2553.0,1.4696296296296296,108,26592000.0,10.415981198589895,2.3035224879663057
200107,2021,35943.0,3093.0,1.530377358490566,106,35943000.0,11.620756547041706,2.33731074200818
200107,2022,26444.0,3827.0,1.8057608695652174,92,26444000.0,6.909851058270186,2.544987520798669
200107,2023,26440.0,2027.0,2.076962025316456,79,26440000.0,13.043907252096695,2.944950075642965
200107,2024,25810.0,2515.0,1.7737179487179486,78,25810000.0,10.262425447316103,2.3788004649360714
200108,2015,2785.0,742.0,1.4891666666666667,12,2785000.0,3.753369272237197,1.219576301615799
200108,2016,19366.0,2491.0,1.3391891891891892,37,19366000.0,7.774387796065837,1.1943462769802746
200108,2017,10432.0,1574.0,1.5713513513513513,37,10432000.0,6.627700127064803,1.2212710889570553
200108,2018,11541.0,1730.0,1.53,31,11541000.0,6.671098265895954,1.2452265834849667
200108,2019,10954.0,1982.0,1.092857142857143,49,10954000.0,5.5267406659939455,1.40584261457002
200108,2020,13721.0,2030.0,1.1621875,64,13721000.0,6.7591133004926105,1.3739326579695357
200108,2021,17306.0,2343.0,1.3111267605633803,71,17306000.0,7.38625693555271,1.3482745868484918
200108,2022,17798.0,3224.0,1.7367692307692308,65,17798000.0,5.520471464019852,1.8491263063265535
200108,2023,15787.0,2148.0,2.093132530120482,83,15787000.0,7.349627560521415,1.4668543738519035
200108,2024,21752.0,2331.0,1.5984810126582278,79,21752000.0,9.331617331617332,1.4597494483265907
200109,2015,1044.17,592.0,1.0941025641025641,39,1044170.0,1.7638006756756759,1.9779365429001026
200109,2016,46589.4,5432.0,1.0966279069767442,86,46589400.0,8.576840942562592,1.2688414102778744
200109,2017,24070.0,3567.0,1.3005479452054793,73,24070000.0,6.747967479674797,1.3486439551308682
200109,2018,38829.0,5012.0,1.0949295774647887,71,38829000.0,7.7472067039106145,1.1623433516186354
200109,2019,39539.0,6006.0,1.0905479452054794,73,39539000.0,6.583250083250083,1.0785803889830294
